16:02:30 --- PID 0; epoch 13, batch 3
16:02:46 --- PID 0; epoch 13, batch 4
16:03:03 --- PID 0; epoch 13, batch 5
16:03:19 --- PID 0; epoch 13, batch 6
16:03:35 --- PID 0; epoch 13, batch 7
16:03:51 --- PID 0; epoch 13, batch 8
16:04:07 --- PID 0; epoch 13, batch 9
16:04:25 --- PID 0; epoch 14, batch 0
16:04:41 --- PID 0; epoch 14, batch 1
16:04:58 --- PID 0; epoch 14, batch 2
16:05:14 --- PID 0; epoch 14, batch 3
16:05:30 --- PID 0; epoch 14, batch 4
16:05:46 --- PID 0; epoch 14, batch 5
16:06:03 --- PID 0; epoch 14, batch 6
16:06:19 --- PID 0; epoch 14, batch 7
16:06:35 --- PID 0; epoch 14, batch 8
16:06:51 --- PID 0; epoch 14, batch 9
