15:58:47 --- PID 0; epoch 13, batch 3
16:00:18 --- PID 0; epoch 13, batch 4
16:01:50 --- PID 0; epoch 13, batch 5
16:03:21 --- PID 0; epoch 13, batch 6
16:04:54 --- PID 0; epoch 13, batch 7
16:06:26 --- PID 0; epoch 13, batch 8
16:07:58 --- PID 0; epoch 13, batch 9
16:09:33 --- PID 0; epoch 14, batch 0
16:11:07 --- PID 0; epoch 14, batch 1
16:12:40 --- PID 0; epoch 14, batch 2
16:14:15 --- PID 0; epoch 14, batch 3
16:15:47 --- PID 0; epoch 14, batch 4
16:17:18 --- PID 0; epoch 14, batch 5
16:18:50 --- PID 0; epoch 14, batch 6
16:20:22 --- PID 0; epoch 14, batch 7
16:21:54 --- PID 0; epoch 14, batch 8
16:23:24 --- PID 0; epoch 14, batch 9
