12:19:29 --- PID 0; epoch 13, batch 4
12:28:24 --- PID 0; epoch 13, batch 5
12:37:17 --- PID 0; epoch 13, batch 6
12:46:14 --- PID 0; epoch 13, batch 7
12:55:06 --- PID 0; epoch 13, batch 8
13:03:58 --- PID 0; epoch 13, batch 9
13:13:04 --- PID 0; epoch 14, batch 0
13:22:05 --- PID 0; epoch 14, batch 1
13:30:51 --- PID 0; epoch 14, batch 2
13:39:44 --- PID 0; epoch 14, batch 3
13:48:39 --- PID 0; epoch 14, batch 4
13:57:27 --- PID 0; epoch 14, batch 5
14:06:17 --- PID 0; epoch 14, batch 6
14:15:25 --- PID 0; epoch 14, batch 7
14:24:15 --- PID 0; epoch 14, batch 8
14:33:01 --- PID 0; epoch 14, batch 9
