00:11:40 --- PID 0; epoch 13, batch 3
00:13:18 --- PID 0; epoch 13, batch 4
00:14:56 --- PID 0; epoch 13, batch 5
00:16:34 --- PID 0; epoch 13, batch 6
00:18:12 --- PID 0; epoch 13, batch 7
00:19:50 --- PID 0; epoch 13, batch 8
00:21:27 --- PID 0; epoch 13, batch 9
00:23:08 --- PID 0; epoch 14, batch 0
00:24:45 --- PID 0; epoch 14, batch 1
00:26:23 --- PID 0; epoch 14, batch 2
00:28:01 --- PID 0; epoch 14, batch 3
00:29:39 --- PID 0; epoch 14, batch 4
00:31:17 --- PID 0; epoch 14, batch 5
00:32:54 --- PID 0; epoch 14, batch 6
00:34:32 --- PID 0; epoch 14, batch 7
00:36:10 --- PID 0; epoch 14, batch 8
00:37:47 --- PID 0; epoch 14, batch 9
